time,latitude,longitude,zos,day,distance_km
2024-02-12,36.583336,2.9166718,,2024-02-12,22.513610945271516
2024-02-12,36.583336,3.0,,2024-02-12,19.289317853545782
2024-02-12,36.583336,3.0833435,,2024-02-12,18.648702135525184
2024-02-12,36.583336,3.1666718,,2024-02-12,20.831708919035847
2024-02-12,36.583336,3.25,,2024-02-12,25.112182506309033
2024-02-12,36.66667,2.8333435,,2024-02-12,22.228234819302035
2024-02-12,36.66667,2.9166718,,2024-02-12,15.782881420103022
2024-02-12,36.66667,3.0,,2024-02-12,10.698609465725811
2024-02-12,36.66667,3.0833435,,2024-02-12,9.496464669132697
2024-02-12,36.66667,3.1666718,,2024-02-12,13.276882967911245
2024-02-12,36.66667,3.25,,2024-02-12,19.306074472517334
2024-02-12,36.75,2.8333435,-0.15926783,2024-02-12,20.194040166169533
2024-02-12,36.75,2.9166718,,2024-02-12,12.76987826840439
2024-02-12,36.75,3.0,,2024-02-12,5.345713953294998
2024-02-12,36.75,3.0833435,-0.16329284,2024-02-12,2.079801567910821
2024-02-12,36.75,3.1666718,-0.15778981,2024-02-12,9.50394748445699
2024-02-12,36.75,3.25,,2024-02-12,16.92811061876691
2024-02-12,36.833336,2.8333435,-0.19579917,2024-02-12,22.20863381656194
2024-02-12,36.833336,2.9166718,-0.18431148,2024-02-12,15.772124592603511
2024-02-12,36.833336,3.0,-0.17826101,2024-02-12,10.696398658202174
2024-02-12,36.833336,3.0833435,-0.17657861,2024-02-12,9.496747682395155
2024-02-12,36.833336,3.1666718,-0.1777626,2024-02-12,13.270048906298761
2024-02-12,36.833336,3.25,-0.1785078,2024-02-12,19.290330362086166
2024-02-12,36.91667,2.8333435,-0.23727736,2024-02-12,27.393082527538727
2024-02-12,36.91667,2.9166718,-0.2275391,2024-02-12,22.49852861582144
2024-02-12,36.91667,3.0,-0.22010873,2024-02-12,19.286865452625985
2024-02-12,36.91667,3.0833435,-0.21524744,2024-02-12,18.648990373299995
2024-02-12,36.91667,3.1666718,-0.2145002,2024-02-12,20.82299777897512
2024-02-12,36.91667,3.25,-0.21640368,2024-02-12,25.08797191414032
2024-02-13,36.583336,2.8333435,,2024-02-13,27.42486183499686
2024-02-13,36.583336,2.9166718,,2024-02-13,22.513610945271516
2024-02-13,36.583336,3.0,,2024-02-13,19.289317853545782
2024-02-13,36.583336,3.0833435,,2024-02-13,18.648702135525184
2024-02-13,36.583336,3.1666718,,2024-02-13,20.831708919035847
2024-02-13,36.583336,3.25,,2024-02-13,25.112182506309033
2024-02-13,36.66667,2.8333435,,2024-02-13,22.228234819302035
2024-02-13,36.66667,2.9166718,,2024-02-13,15.782881420103022
2024-02-13,36.66667,3.0,,2024-02-13,10.698609465725811
2024-02-13,36.66667,3.0833435,,2024-02-13,9.496464669132697
2024-02-13,36.66667,3.1666718,,2024-02-13,13.276882967911245
2024-02-13,36.66667,3.25,,2024-02-13,19.306074472517334
2024-02-13,36.75,2.8333435,-0.16911806,2024-02-13,20.194040166169533
2024-02-13,36.75,2.9166718,,2024-02-13,12.76987826840439
2024-02-13,36.75,3.0,,2024-02-13,5.345713953294998
2024-02-13,36.75,3.0833435,-0.16557756,2024-02-13,2.079801567910821
2024-02-13,36.75,3.1666718,-0.16298828,2024-02-13,9.50394748445699
2024-02-13,36.75,3.25,,2024-02-13,16.92811061876691
2024-02-13,36.833336,2.8333435,-0.1980271,2024-02-13,22.20863381656194
2024-02-13,36.833336,2.9166718,-0.18870772,2024-02-13,15.772124592603511
2024-02-13,36.833336,3.0,-0.18400094,2024-02-13,10.696398658202174
2024-02-13,36.833336,3.0833435,-0.18279111,2024-02-13,9.496747682395155
2024-02-13,36.833336,3.1666718,-0.18494594,2024-02-13,13.270048906298761
2024-02-13,36.833336,3.25,-0.1859248,2024-02-13,19.290330362086166
2024-02-13,36.91667,2.8333435,-0.24102627,2024-02-13,27.393082527538727
