time,depth,latitude,longitude,chl,phyc,day,distance_km
2024-02-03,2.6456685,36.5,2.75,,,2024-02-03,39.218630748632165
2024-02-03,2.6456685,36.5,3.0,,,2024-02-03,28.309899066231292
2024-02-03,2.6456685,36.5,3.25,,,2024-02-03,32.56184297337359
2024-02-03,2.6456685,36.5,3.5,,,2024-02-03,48.109971773295804
2024-02-03,2.6456685,36.5,3.75,,,2024-02-03,67.55982081549554
2024-02-03,2.6456685,36.75,2.5,0.31281418,1.7267851,2024-02-03,49.893335851721524
2024-02-03,2.6456685,36.75,2.75,,,2024-02-03,27.619548433415456
2024-02-03,2.6456685,36.75,3.0,,,2024-02-03,5.345713953294998
2024-02-03,2.6456685,36.75,3.25,,,2024-02-03,16.92811061876691
2024-02-03,2.6456685,36.75,3.5,,,2024-02-03,39.201925363355656
2024-02-03,2.6456685,36.75,3.75,,,2024-02-03,61.475673310100895
2024-02-03,2.6456685,37.0,2.5,0.3147071,1.7160773,2024-02-03,57.043668759204486
2024-02-03,2.6456685,37.0,2.75,0.32708314,1.8004547,2024-02-03,39.154960218269906
2024-02-03,2.6456685,37.0,3.0,0.36678842,1.9455373,2024-02-03,28.306273869736685
2024-02-03,2.6456685,37.0,3.25,0.3753444,1.9454497,2024-02-03,32.53286358811945
2024-02-03,2.6456685,37.0,3.5,0.36388418,1.8852317,2024-02-03,48.00558097221438
2024-02-03,2.6456685,37.0,3.75,0.31100067,1.7506161,2024-02-03,67.3771665595173
2024-02-03,2.6456685,37.25,2.5,0.33565602,1.7661661,2024-02-03,74.59321055978846
2024-02-03,2.6456685,37.25,2.75,0.35054362,1.8101516,2024-02-03,62.03979573410962
2024-02-03,2.6456685,37.25,3.0,0.4028124,1.9198315,2024-02-03,55.85227782011057
2024-02-03,2.6456685,37.25,3.25,0.43008983,1.8752146,2024-02-03,58.10140704804029
