time,depth,latitude,longitude,o2,day,distance_km
2024-02-03,1.5413754,37.0,2.5,247.58751,2024-02-03,57.043668759204486
2024-02-03,1.5413754,37.0,2.75,248.03554,2024-02-03,39.154960218269906
2024-02-03,1.5413754,37.0,3.0,248.02055,2024-02-03,28.306273869736685
2024-02-03,1.5413754,37.0,3.25,247.4111,2024-02-03,32.53286358811945
2024-02-03,1.5413754,37.0,3.5,246.94923,2024-02-03,48.00558097221438
2024-02-03,1.5413754,37.0,3.75,246.9193,2024-02-03,67.3771665595173
2024-02-03,1.5413754,37.25,2.5,247.04105,2024-02-03,74.59321055978846
2024-02-03,1.5413754,37.25,2.75,246.68295,2024-02-03,62.03979573410962
2024-02-03,1.5413754,37.25,3.0,245.84666,2024-02-03,55.85227782011057
2024-02-03,1.5413754,37.25,3.25,244.92981,2024-02-03,58.10140704804029
2024-02-03,1.5413754,37.25,3.5,244.6647,2024-02-03,67.95457758570011
2024-02-03,1.5413754,37.25,3.75,245.7332,2024-02-03,82.73827358954384
2024-02-03,2.6456685,36.25,2.5,,2024-02-03,74.81033821417587
2024-02-03,2.6456685,36.25,2.75,,2024-02-03,62.11983730345671
2024-02-03,2.6456685,36.25,3.0,,2024-02-03,55.85557448584465
2024-02-03,2.6456685,36.25,3.25,,2024-02-03,58.13350219663351
2024-02-03,2.6456685,36.25,3.5,,2024-02-03,68.10175849678386
2024-02-03,2.6456685,36.25,3.75,,2024-02-03,83.035373349154
2024-02-03,2.6456685,36.5,2.5,,2024-02-03,57.18584711457668
2024-02-03,2.6456685,36.5,2.75,,2024-02-03,39.218630748632165
2024-02-03,2.6456685,36.5,3.0,,2024-02-03,28.309899066231292
2024-02-03,2.6456685,36.5,3.25,,2024-02-03,32.56184297337359
2024-02-03,2.6456685,36.5,3.5,,2024-02-03,48.109971773295804
2024-02-03,2.6456685,36.5,3.75,,2024-02-03,67.55982081549554
2024-02-03,2.6456685,36.75,2.5,248.37503,2024-02-03,49.893335851721524
2024-02-03,2.6456685,36.75,2.75,,2024-02-03,27.619548433415456
2024-02-03,2.6456685,36.75,3.0,,2024-02-03,5.345713953294998
2024-02-03,2.6456685,36.75,3.25,,2024-02-03,16.92811061876691
2024-02-03,2.6456685,36.75,3.5,,2024-02-03,39.201925363355656
2024-02-03,2.6456685,36.75,3.75,,2024-02-03,61.475673310100895
2024-02-03,2.6456685,37.0,2.5,247.59532,2024-02-03,57.043668759204486
2024-02-03,2.6456685,37.0,2.75,248.0456,2024-02-03,39.154960218269906
2024-02-03,2.6456685,37.0,3.0,248.0326,2024-02-03,28.306273869736685
2024-02-03,2.6456685,37.0,3.25,247.42264,2024-02-03,32.53286358811945
2024-02-03,2.6456685,37.0,3.5,246.95842,2024-02-03,48.00558097221438
2024-02-03,2.6456685,37.0,3.75,246.92854,2024-02-03,67.3771665595173
2024-02-03,2.6456685,37.25,2.5,247.0494,2024-02-03,74.59321055978846
2024-02-03,2.6456685,37.25,2.75,246.69434,2024-02-03,62.03979573410962
2024-02-03,2.6456685,37.25,3.0,245.85893,2024-02-03,55.85227782011057
2024-02-03,2.6456685,37.25,3.25,244.93918,2024-02-03,58.10140704804029
2024-02-03,2.6456685,37.25,3.5,244.66672,2024-02-03,67.95457758570011
2024-02-03,2.6456685,37.25,3.75,245.73518,2024-02-03,82.73827358954384
2024-02-03,3.8194947,36.25,2.5,,2024-02-03,74.81033821417587
2024-02-03,3.8194947,36.25,2.75,,2024-02-03,62.11983730345671
2024-02-03,3.8194947,36.25,3.0,,2024-02-03,55.85557448584465
2024-02-03,3.8194947,36.25,3.25,,2024-02-03,58.13350219663351
2024-02-03,3.8194947,36.25,3.5,,2024-02-03,68.10175849678386
2024-02-03,3.8194947,36.25,3.75,,2024-02-03,83.035373349154
2024-02-03,3.8194947,36.5,2.5,,2024-02-03,57.18584711457668
2024-02-03,3.8194947,36.5,2.75,,2024-02-03,39.218630748632165
2024-02-03,3.8194947,36.5,3.0,,2024-02-03,28.309899066231292
2024-02-03,3.8194947,36.5,3.25,,2024-02-03,32.56184297337359
2024-02-03,3.8194947,36.5,3.5,,2024-02-03,48.109971773295804
2024-02-03,3.8194947,36.5,3.75,,2024-02-03,67.55982081549554
2024-02-03,3.8194947,36.75,2.5,248.37859,2024-02-03,49.893335851721524
2024-02-03,3.8194947,36.75,2.75,,2024-02-03,27.619548433415456
2024-02-03,3.8194947,36.75,3.0,,2024-02-03,5.345713953294998
2024-02-03,3.8194947,36.75,3.25,,2024-02-03,16.92811061876691
2024-02-03,3.8194947,36.75,3.5,,2024-02-03,39.201925363355656
2024-02-03,3.8194947,36.75,3.75,,2024-02-03,61.475673310100895
2024-02-03,3.8194947,37.0,2.5,247.60156,2024-02-03,57.043668759204486
2024-02-03,3.8194947,37.0,2.75,248.05347,2024-02-03,39.154960218269906
2024-02-03,3.8194947,37.0,3.0,248.04152,2024-02-03,28.306273869736685
2024-02-03,3.8194947,37.0,3.25,247.43135,2024-02-03,32.53286358811945
2024-02-03,3.8194947,37.0,3.5,246.96526,2024-02-03,48.00558097221438
2024-02-03,3.8194947,37.0,3.75,246.93608,2024-02-03,67.3771665595173
2024-02-03,3.8194947,37.25,2.5,247.05647,2024-02-03,74.59321055978846
2024-02-03,3.8194947,37.25,2.75,246.70473,2024-02-03,62.03979573410962
2024-02-03,3.8194947,37.25,3.0,245.8703,2024-02-03,55.85227782011057
2024-02-03,3.8194947,37.25,3.25,244.94682,2024-02-03,58.10140704804029
