date,o2_median,o2_n_points,o2_dist_min_km,o2_dist_median_km,o2_dist_max_km
2024-07-23,211.94207000732422,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-07-24,211.51687622070312,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-07-25,210.96485137939453,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-07-26,210.85784912109375,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-07-27,211.0221176147461,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-07-28,210.64382934570312,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-07-29,210.697509765625,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-07-30,210.57650756835938,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-07-31,210.35276794433594,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-08-01,209.59999084472656,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-08-02,208.78984832763672,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-08-03,208.31517028808594,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-08-04,208.11566162109375,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-08-05,207.70915985107422,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-08-06,207.2648696899414,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-08-07,207.58108520507812,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-08-08,207.50008392333984,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-08-09,207.69940948486328,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-08-10,209.40916442871094,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-08-11,209.41482543945312,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-08-12,208.7713623046875,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-08-13,207.94403839111328,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-08-14,207.41803741455078,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-08-15,206.94464874267578,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-08-16,206.1942138671875,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-08-17,205.90727996826172,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-08-18,205.6316680908203,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-08-19,205.35047912597656,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-08-20,205.35690307617188,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-08-21,205.8086929321289,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-08-22,205.731201171875,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-08-23,205.24021911621094,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-08-24,205.06417083740234,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-08-25,205.23741149902344,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-08-26,205.82515716552734,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-08-27,206.89630126953125,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-08-28,208.52628326416016,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-08-29,210.1850128173828,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-08-30,211.27652740478516,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-08-31,211.13106536865234,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-09-01,209.3597869873047,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-09-02,208.303466796875,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-09-03,208.86870574951172,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-09-04,210.09415435791016,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-09-05,212.197509765625,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-09-06,212.15770721435547,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-09-07,213.13681030273438,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-09-08,212.82657623291016,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-09-09,213.12933349609375,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-09-10,212.6542510986328,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-09-11,212.39803314208984,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-09-12,212.53156280517578,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-09-13,212.5707550048828,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-09-14,213.45491790771484,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-09-15,214.01248168945312,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-09-16,214.07003784179688,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-09-17,214.83512115478516,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-09-18,214.99539947509766,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-09-19,215.62061309814453,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-09-20,216.07394409179688,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-09-21,215.83814239501953,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-09-22,215.4849624633789,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-09-23,215.43506622314453,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-09-24,214.03141021728516,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-09-25,215.40643310546875,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-09-26,215.96703338623047,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-09-27,216.81272888183594,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-09-28,217.13548278808594,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-09-29,217.57386016845703,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-09-30,217.66244506835938,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-10-01,217.60189056396484,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-10-02,217.1651611328125,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-10-03,217.35301971435547,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-10-04,217.97061920166016,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-10-05,218.3683319091797,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-10-06,218.57611083984375,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-10-07,218.41786193847656,44,28.306411434744845,55.852195301984636,67.95450828154688
