date,VHM0_median,VHM0_n_points,VHM0_dist_min_km,VHM0_dist_median_km,VHM0_dist_max_km
2024-10-25,0.265,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-10-26,0.725,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-10-27,1.21,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-10-28,0.78,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-10-29,1.155,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-10-30,1.06,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-10-31,0.61,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-11-01,0.635,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-11-02,0.98,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-11-03,0.5700000000000001,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-11-04,0.49,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-11-05,0.41500000000000004,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-11-06,0.325,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-11-07,0.38,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-11-08,0.48,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-11-09,0.47000000000000003,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-11-10,0.795,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-11-11,1.6300000000000001,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-11-12,1.4249999999999998,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-11-13,1.21,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-11-14,0.995,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-11-15,1.3650000000000002,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-11-16,0.935,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-11-17,0.45,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-11-18,0.16,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-11-19,0.37,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-11-20,1.495,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-11-21,1.93,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-11-22,2.1900000000000004,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-11-23,1.17,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-11-24,0.91,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-11-25,0.495,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-11-26,0.36,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-11-27,0.4,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-11-28,0.29,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-11-29,0.2,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-11-30,0.39,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-12-01,0.31,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-12-02,0.39,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-12-03,0.28500000000000003,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-12-04,1.53,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-12-05,1.78,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-12-06,1.3900000000000001,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-12-07,1.09,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-12-08,3.34,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-12-09,2.17,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-12-10,1.3900000000000001,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-12-11,0.79,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-12-12,0.71,128,7.711546198681338,41.21199946489436,55.49704268963926
